Date,Open,High,Low,Close,Volume
10/18/2024,220.71,222.28,219.23,220.7,"49,611,871"
10/17/2024,221.59,222.08,217.9,220.89,"50,791,781"
10/16/2024,221.4,222.82,218.93,221.33,"49,632,820"
10/15/2024,220.01,224.26,217.12,219.57,"62,988,793"
10/14/2024,220.13,221.91,213.74,219.16,"86,291,922"
10/11/2024,220.13,223.34,214.38,217.8,"142,628,891"
10/10/2024,241.81,242.79,232.34,238.77,"83,087,055"
10/9/2024,243.82,247.43,239.51,241.05,"66,289,531"
10/8/2024,243.56,246.21,240.56,244.5,"56,303,160"
10/7/2024,249,249.83,240.7,240.83,"68,113,273"
10/4/2024,246.69,250.96,244.58,250.08,"86,726,289"
10/3/2024,244.48,249.79,237.81,240.66,"80,729,242"
10/2/2024,247.55,251.16,241.5,249.02,"93,983,930"
10/1/2024,262.67,263.98,248.53,258.02,"87,397,609"
9/30/2024,259.04,264.86,255.77,261.63,"80,873,375"
9/27/2024,257.38,260.7,254.12,260.46,"70,988,070"
9/26/2024,260.6,261.75,251.53,254.22,"67,142,195"
9/25/2024,252.54,257.05,252.28,257.02,"65,034,320"
9/24/2024,254.08,257.19,249.05,254.27,"88,491,000"
9/23/2024,242.61,250,241.92,250,"86,927,195"
9/20/2024,241.52,243.99,235.92,238.25,"99,879,070"
9/19/2024,234,244.24,232.13,243.92,"102,694,602"
9/18/2024,230.09,235.68,226.88,227.2,"78,010,203"
9/17/2024,229.45,234.57,226.55,227.87,"66,761,641"
9/16/2024,229.3,229.96,223.53,226.78,"54,323,000"
9/13/2024,228,232.67,226.32,230.29,"59,515,113"
9/12/2024,224.66,231.45,223.83,229.81,"72,020,039"
9/11/2024,224.55,228.47,216.8,228.13,"83,548,633"
9/10/2024,220.07,226.4,218.64,226.17,"78,891,133"
9/9/2024,216.2,219.87,213.67,216.27,"67,443,523"
9/6/2024,232.6,233.6,210.51,210.73,"112,177,000"
9/5/2024,223.49,235,222.25,230.17,"119,355,000"
9/4/2024,210.59,222.22,210.57,219.41,"80,651,766"
9/3/2024,215.26,219.9,209.64,210.6,"76,551,800"
8/30/2024,208.63,214.57,207.03,214.11,"63,370,609"
8/29/2024,209.8,214.89,205.97,206.28,"62,308,820"
8/28/2024,209.72,211.84,202.59,205.75,"64,116,352"
8/27/2024,213.25,215.66,206.94,209.21,"62,821,391"
8/26/2024,218.75,219.09,211.01,213.21,"59,301,191"
8/23/2024,214.46,221.48,214.21,220.32,"81,525,211"
8/22/2024,223.82,224.8,210.32,210.66,"79,514,477"
8/21/2024,222.67,224.66,218.86,223.27,"70,145,961"
8/20/2024,224.88,228.22,219.56,221.1,"74,001,188"
8/19/2024,217.07,222.98,214.09,222.72,"76,435,219"
8/16/2024,211.15,219.8,210.8,216.12,"88,765,117"
8/15/2024,205.02,215.88,204.82,214.14,"89,848,531"
8/14/2024,207.39,208.44,198.75,201.38,"70,250,008"
8/13/2024,198.47,208.49,197.06,207.83,"76,247,391"
8/12/2024,199.02,199.26,194.67,197.49,"64,044,898"
8/9/2024,197.05,200.88,195.11,200,"58,648,273"
8/8/2024,195.7,200.7,192.04,198.84,"65,033,871"
8/7/2024,200.77,203.49,191.48,191.76,"71,159,773"
8/6/2024,200.75,202.9,192.67,200.64,"73,783,938"
8/5/2024,185.22,203.88,182,198.88,"100,308,797"
8/2/2024,214.88,216.13,205.78,207.67,"82,880,117"
8/1/2024,227.69,231.87,214.33,216.86,"83,861,906"
7/31/2024,227.9,234.68,226.79,232.07,"67,497,008"
7/30/2024,232.25,232.41,220,222.62,"100,560,305"
7/29/2024,224.9,234.27,224.7,232.1,"129,201,797"
7/26/2024,221.19,222.28,215.33,219.8,"94,604,148"
7/25/2024,216.8,226,216.23,220.25,"100,636,492"
7/24/2024,225.42,225.99,214.71,215.99,"167,942,891"
7/23/2024,253.6,255.76,245.63,246.38,"111,928,203"
7/22/2024,244.21,253.21,243.75,251.51,"101,225,398"
7/19/2024,247.79,249.44,236.83,239.2,"87,403,906"
7/18/2024,251.09,257.14,247.2,249.23,"110,869,000"
7/17/2024,252.73,258.47,246.18,248.5,"115,584,797"
7/16/2024,255.31,258.62,245.8,256.56,"126,332,492"
7/15/2024,255.97,265.6,251.73,252.64,"146,912,891"
7/12/2024,235.8,251.84,233.09,248.23,"155,955,812"
7/11/2024,263.3,271,239.65,241.03,"221,707,297"
7/10/2024,262.8,267.59,257.86,263.26,"128,519,398"
7/9/2024,251,265.61,250.3,262.33,"160,742,500"
7/8/2024,247.71,259.44,244.57,252.94,"157,219,594"
7/5/2024,249.81,252.37,242.46,251.52,"154,501,203"
7/3/2024,234.56,248.35,234.25,246.39,"166,561,500"
7/2/2024,218.89,231.3,218.06,231.26,"205,047,906"
7/1/2024,201.02,213.23,200.85,209.86,"135,691,391"
6/28/2024,199.55,203.2,195.26,197.88,"95,438,070"
6/27/2024,195.17,198.72,194.05,197.42,"72,746,523"
6/26/2024,186.54,197.76,186.36,196.37,"95,737,070"
6/25/2024,184.4,187.97,182.01,187.35,"63,678,273"
6/24/2024,184.97,188.8,182.55,182.58,"61,992,070"
